SBD,Toan,Van,Ly,Hoa,Sinh,KHTN,Su,Dia,GDCD,KHXH,Anh
52000001,6.8,4,,,,,5,6,,,
52000002,7.4,7.5,7,8.25,5.75,,,,,,7.2
52000003,5.8,5,,,,,5.5,7.5,,,
52000004,6,7.25,,,,,4.75,7.5,,,
52000005,7.8,7.25,5.75,5.25,6.5,,,,,,8.6
52000006,7,7.25,5,7.25,5.75,,,,,,5.4
52000007,7,6,4.75,5.75,4.25,,,,,,7.8
52000008,8,6.75,7.25,7.5,6.75,,,,,,8
52000009,7,7.5,,,,,7.5,7,9.5,,7.8
52000010,7.8,6.25,,,,,6.5,8,9.25,,7.8
52000011,6.2,7.41,5.75,4.25,5.75,,,,,,6
52000012,7.4,8,,,,,5.25,7,9,,8.8
52000013,7,6,,,,,6.75,7.25,8.5,,6.2
52000014,6.6,7,,,,,6.5,6.25,8.75,,7.4
52000015,6,6,,,,,4.75,6.5,8,,4
52000016,6.6,7,6.5,6.75,4.75,,,,,,5.8
52000017,6.8,7.25,,,,,5,6.75,9.25,,6
52000018,7.2,7.25,,,,,2.75,5.75,8.75,,5.6
52000019,6.4,4,4.75,4.5,3.75,,,,,,6.8
52000020,6.6,6.75,,,,,4.75,8,9.75,,6.4
52000021,7.8,5.75,6,7,4.75,,,,,,7.2
52000022,6.8,5.25,,,,,5,7.25,,,
52000023,7,,5.5,3.5,,,,,,,
52000024,5.2,5.75,5.25,7,4,,,,,,4.8
52000025,6.6,4.75,4.25,4.75,4.25,,,,,,4.2
52000026,6.6,6.25,,,,,5.25,6.5,8.75,,4
52000027,7.2,6.5,,,,,5,7,8.5,,8
52000028,8.8,7.25,5.75,,,,,,,,8
52000029,5.4,7.25,,,,,4,6,7.25,,6.2
52000030,7.4,8.25,,,,,7,7,9,,7.6
52000031,5.4,7.25,,,,,3.5,6.75,7.5,,4.8
52000032,7,7.25,5.75,5.75,4.25,,,,,,7.2
52000033,6,6.25,,,,,5.75,7.75,9.75,,8.2
52000034,6.4,5.75,,,,,5.25,5.25,,,
52000035,7.6,8,,,,,6.25,8.5,9.5,,6.8
52000036,6.8,7,,,,,6,7.5,9.75,,5
52000037,4.6,4.25,,,,,4.5,5.25,7.5,,4.2
52000038,8,7,6.75,6.25,4.5,,,,,,6
52000039,7.6,8.75,,,,,6.5,7.5,10,,9.4
52000040,7.4,7.25,4.25,6.75,5,,,,,,5.8
52000041,6.8,6.75,5.75,5.5,4.5,,,,,,5.6
52000042,7.4,7.25,,,,,6.25,8.5,,,
52000043,5.8,5.75,5,7.25,5,,,,,,6.2
52000044,7.2,6.75,,,,,6,7,7.75,,4
52000045,7.8,7.5,5.25,5.5,5.5,,,,,,4
52000046,6.8,8,5.5,5.25,4.25,,,,,,8.8
52000047,6.4,7,5,5.75,4,,,,,,5.8
52000048,7.4,8,6,7.5,6.75,,,,,,9.4
52000049,6,7.5,,,,,5.5,7,8.75,,7.6
52000050,7.4,7.25,7,7.5,7,,,,,,7.8
52000051,6.8,7,,,,,5,7.25,7.75,,7.4
52000052,7.2,7.25,,,,,6,7.75,8.5,,5.8
52000053,7,8,,,,,4.75,8.75,9.5,,8
52000054,7.4,7.5,6,7,4.5,,,,,,7.2
52000055,6.6,7.5,,,,,3.75,5.25,8.25,,6.8
52000057,5,6.5,,,,,3,7.5,,,
52000058,6.6,6.75,2.75,5.5,3.25,,,,,,5.8
52000059,8.6,7.5,7.5,8.25,6.5,,,,,,9
52000060,6.4,4.83,,,,,1.75,6,,,
52000061,8.6,7.5,6.25,6.5,6.25,,,,,,8.6
52000062,7.2,6.25,,,,,6.5,6,7.5,,7.4
52000063,6.4,7,,,,,2.5,6.75,6.5,,5.4
52000064,6.8,8,,,,,5.25,7.75,9.25,,8.6
52000065,6.8,5.5,,,,,4,6,6.5,,5.4
52000066,6.6,5,,,,,3.25,7,,,
52000067,6.2,5,,,,,5.25,7,,,
52000068,6.6,5.5,,,,,3.25,7,,,
52000069,6.6,6.5,,,,,6.5,7.25,9.5,,7.2
52000070,7.2,7,6.75,6,5.25,,,,,,9
52000071,6.6,7,,,,,6.75,6.5,6.75,,8.4
52000072,6.8,7.25,,,,,6.25,7.75,9.75,,8.2
52000073,7.6,7.75,,,,,7,8,9.25,,8.8
52000074,6,7.25,6.5,8.25,4.25,,,,,,6.8
52000075,7,5.5,6,4.75,5.5,,,,,,8.8
52000076,8.6,6.75,8.25,7.75,6.25,,,,,,9.6
52000077,3.4,6.25,,,,,4.5,7,,,
52000078,4.8,7,,,,,5.25,7.25,9.5,,7
52000079,5.6,5.5,,,,,5.75,6.75,,,
52000080,6.4,7.5,,,,,4,6.25,9,,4.4
52000081,8,6.25,6.5,7.5,6,,,,,,8
52000082,8,6.5,8,7.75,6.25,,,,,,8
52000083,4.6,8,,,,,6,7,9.25,,8.2
52000084,6.8,8,,,,,4,6.75,8.75,,8.6
52000085,6.6,8,5.5,5.5,4.5,,,,,,7.8
52000086,7,7.5,5.25,4.75,4.5,,,,,,6.2
52000087,8.4,6.25,7.25,7,5.75,,,,,,8.6
52000088,7.6,7.75,,,,,8.5,7.75,,,
52000089,7.8,8.5,,,,,4.5,7,9,,9.6
52000090,7,7.75,,,,,5,7.5,9.5,,8.6
52000091,7.8,7.25,6.75,5.25,4.5,,,,,,6.2
52000092,5.6,6.25,5,5,4.5,,,,,,4.2
52000093,6,7,,,,,8,9.25,8.75,,5.6
52000094,8,5.5,7,6.25,6.25,,,,,,9.6
52000095,7.6,8.25,7,7.25,6.5,,,,,,5.6
52000096,6.2,6,4.75,5.25,4.75,,,,,,5.6
52000097,4.8,4,,,,,3.75,7,8,,5
52000098,7,7,,,,,5,7.75,9,,5.4
52000099,5.8,5.75,,,,,6,7,9.25,,4.4
52000100,7,6.25,7.5,6.75,4.5,,,,,,4.6
52000101,8.4,5.5,6.25,5.5,4.5,,,,,,6.6
52000102,8.8,,7,,,,,,,,9.2
52000103,7.2,6,,,,,3.75,5.75,7.25,,4
52000104,8,5.25,5.25,6.75,7.25,,,,,,8.4
52000105,7.6,6.5,6.75,7,6.5,,,,,,4.4
52000106,6.4,6,,,,,,,,,8.4
52000107,6.4,7.75,,,,,6.25,8.25,9.25,,8.8
52000108,6.2,7.25,,,,,5.5,7,9,,6.4
52000109,7.2,8,,,,,7.25,7.25,8.75,,7.4
52000110,6.4,8.25,,,,,4.25,6.5,9,,5.8
52000111,6.4,7.5,6,7,5,,,,,,8.4
52000112,8,6.5,7.75,7.5,4.5,,,,,,4.4
52000113,6,5.75,,,,,5.5,5.75,8,,4.4
52000114,8.2,6.75,5.25,5.75,5.25,,,,,,8.4
